,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash,,,,,,,,,Dividend History - Cash
,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST,,,,,,,,,DVD_HIST
AAPL UW Equity,1/29/2019,2/8/2019,2/11/2019,2/14/2019,0.73,Quarter,Regular Cash,,AXP UN Equity,3/11/2019,4/4/2019,4/5/2019,5/10/2019,0.39,Quarter,Regular Cash,,BA UN Equity,12/17/2018,2/7/2019,2/8/2019,3/1/2019,2.055,Quarter,Regular Cash,,CAT UN Equity,4/10/2019,4/18/2019,4/22/2019,5/20/2019,0.86,Quarter,Regular Cash,,CSCO UW Equity,2/13/2019,4/4/2019,4/5/2019,4/24/2019,0.35,Quarter,Regular Cash,,CVX UN Equity,1/30/2019,2/14/2019,2/15/2019,3/11/2019,1.19,Quarter,Regular Cash,,DIS UN Equity,11/28/2018,12/7/2018,12/10/2018,1/10/2019,0.88,Semi-Anl,Regular Cash,,DWDP UN Equity,3/8/2019,#N/A N/A,4/26/2019,5/28/2019,#N/A N/A,Quarter,Pro Rata,,GS UN Equity,1/15/2019,2/27/2019,2/28/2019,3/28/2019,0.8,Quarter,Regular Cash,,HD UN Equity,2/26/2019,3/13/2019,3/14/2019,3/28/2019,1.36,Quarter,Regular Cash,,IBM UN Equity,1/29/2019,2/7/2019,2/8/2019,3/9/2019,1.57,Quarter,Regular Cash,,INTC UW Equity,3/14/2019,5/6/2019,5/7/2019,6/1/2019,0.315,Quarter,Regular Cash,,JNJ UN Equity,1/2/2019,2/25/2019,2/26/2019,3/12/2019,0.9,Quarter,Regular Cash,,JPM UN Equity,3/19/2019,4/4/2019,4/5/2019,4/30/2019,0.8,Quarter,Regular Cash,,KO UN Equity,2/21/2019,3/14/2019,3/15/2019,4/1/2019,0.4,Quarter,Regular Cash,,MCD UN Equity,1/24/2019,2/28/2019,3/1/2019,3/15/2019,1.16,Quarter,Regular Cash,,MMM UN Equity,2/5/2019,2/14/2019,2/15/2019,3/12/2019,1.44,Quarter,Regular Cash,,MRK UN Equity,1/29/2019,3/14/2019,3/15/2019,4/5/2019,0.55,Quarter,Regular Cash,,MSFT UW Equity,3/11/2019,5/15/2019,5/16/2019,6/13/2019,0.46,Quarter,Regular Cash,,NKE UN Equity,2/14/2019,3/1/2019,3/4/2019,4/1/2019,0.22,Quarter,Regular Cash,,PFE UN Equity,12/14/2018,1/31/2019,2/1/2019,3/1/2019,0.36,Quarter,Regular Cash,,PG UN Equity,4/9/2019,4/17/2019,4/19/2019,5/15/2019,0.7459,Quarter,Regular Cash,,TRV UN Equity,1/22/2019,3/8/2019,3/11/2019,3/29/2019,0.77,Quarter,Regular Cash,,UNH UN Equity,2/27/2019,3/8/2019,3/11/2019,3/19/2019,0.9,Quarter,Regular Cash,,UTX UN Equity,2/4/2019,2/14/2019,2/15/2019,3/10/2019,0.735,Quarter,Regular Cash,,V UN Equity,1/29/2019,2/14/2019,2/15/2019,3/5/2019,0.25,Quarter,Regular Cash,,VZ UN Equity,3/8/2019,4/9/2019,4/10/2019,5/1/2019,0.6025,Quarter,Regular Cash,,WBA UW Equity,1/25/2019,2/14/2019,2/15/2019,3/12/2019,0.44,Quarter,Regular Cash,,WMT UN Equity,2/19/2019,12/5/2019,12/6/2019,1/2/2020,0.53,Quarter,Regular Cash,,XOM UN Equity,1/30/2019,2/8/2019,2/11/2019,3/11/2019,0.82,Quarter,Regular Cash,,INDU Index,#N/A Field Not Applicable
,11/1/2018,11/8/2018,11/12/2018,11/15/2018,0.73,Quarter,Regular Cash,,,11/27/2018,1/3/2019,1/4/2019,2/8/2019,0.39,Quarter,Regular Cash,,,10/22/2018,11/8/2018,11/9/2018,12/7/2018,1.71,Quarter,Regular Cash,,,12/12/2018,1/18/2019,1/22/2019,2/20/2019,0.86,Quarter,Regular Cash,,,12/5/2018,1/3/2019,1/4/2019,1/23/2019,0.33,Quarter,Regular Cash,,,10/31/2018,11/15/2018,11/16/2018,12/10/2018,1.12,Quarter,Regular Cash,,,6/26/2018,7/6/2018,7/9/2018,7/26/2018,0.84,Semi-Anl,Regular Cash,,,2/14/2019,2/27/2019,2/28/2019,3/15/2019,0.38,Quarter,Regular Cash,,,10/16/2018,11/29/2018,11/30/2018,12/28/2018,0.8,Quarter,Regular Cash,,,11/15/2018,11/28/2018,11/29/2018,12/13/2018,1.03,Quarter,Regular Cash,,,10/30/2018,11/8/2018,11/9/2018,12/10/2018,1.57,Quarter,Regular Cash,,,1/24/2019,2/6/2019,2/7/2019,3/1/2019,0.315,Quarter,Regular Cash,,,10/18/2018,11/26/2018,11/27/2018,12/11/2018,0.9,Quarter,Regular Cash,,,12/11/2018,1/3/2019,1/4/2019,1/31/2019,0.8,Quarter,Regular Cash,,,10/18/2018,11/29/2018,11/30/2018,12/14/2018,0.39,Quarter,Regular Cash,,,9/20/2018,11/30/2018,12/3/2018,12/17/2018,1.16,Quarter,Regular Cash,,,11/13/2018,11/21/2018,11/23/2018,12/12/2018,1.36,Quarter,Regular Cash,,,10/25/2018,12/14/2018,12/17/2018,1/8/2019,0.55,Quarter,Regular Cash,,,11/28/2018,2/20/2019,2/21/2019,3/14/2019,0.46,Quarter,Regular Cash,,,11/15/2018,11/30/2018,12/3/2018,1/2/2019,0.22,Quarter,Regular Cash,,,9/27/2018,11/8/2018,11/9/2018,12/3/2018,0.34,Quarter,Regular Cash,,,1/8/2019,1/17/2019,1/18/2019,2/15/2019,0.7172,Quarter,Regular Cash,,,10/18/2018,12/7/2018,12/10/2018,12/31/2018,0.77,Quarter,Regular Cash,,,11/9/2018,11/30/2018,12/3/2018,12/13/2018,0.9,Quarter,Regular Cash,,,10/10/2018,11/15/2018,11/16/2018,12/10/2018,0.735,Quarter,Regular Cash,,,10/17/2018,11/15/2018,11/16/2018,12/4/2018,0.25,Quarter,Regular Cash,,,12/6/2018,1/9/2019,1/10/2019,2/1/2019,0.6025,Quarter,Regular Cash,,,10/24/2018,11/8/2018,11/12/2018,12/12/2018,0.44,Quarter,Regular Cash,,,2/19/2019,8/8/2019,8/9/2019,9/3/2019,0.53,Quarter,Regular Cash,,,10/31/2018,11/9/2018,11/13/2018,12/10/2018,0.82,Quarter,Regular Cash,,,
,7/31/2018,8/10/2018,8/13/2018,8/16/2018,0.73,Quarter,Regular Cash,,,9/25/2018,10/4/2018,10/5/2018,11/9/2018,0.39,Quarter,Regular Cash,,,6/25/2018,8/9/2018,8/10/2018,9/7/2018,1.71,Quarter,Regular Cash,,,10/10/2018,10/19/2018,10/22/2018,11/20/2018,0.86,Quarter,Regular Cash,,,9/20/2018,10/4/2018,10/5/2018,10/24/2018,0.33,Quarter,Regular Cash,,,7/25/2018,8/16/2018,8/17/2018,9/10/2018,1.12,Quarter,Regular Cash,,,11/29/2017,12/8/2017,12/11/2017,1/11/2018,0.84,Semi-Anl,Regular Cash,,,10/11/2018,11/29/2018,11/30/2018,12/14/2018,0.38,Quarter,Regular Cash,,,7/16/2018,8/29/2018,8/30/2018,9/27/2018,0.8,Quarter,Regular Cash,,,8/16/2018,8/29/2018,8/30/2018,9/13/2018,1.03,Quarter,Regular Cash,,,7/31/2018,8/9/2018,8/10/2018,9/10/2018,1.57,Quarter,Regular Cash,,,9/14/2018,11/6/2018,11/7/2018,12/1/2018,0.3,Quarter,Regular Cash,,,7/16/2018,8/27/2018,8/28/2018,9/11/2018,0.9,Quarter,Regular Cash,,,9/18/2018,10/4/2018,10/5/2018,10/31/2018,0.8,Quarter,Regular Cash,,,7/19/2018,9/13/2018,9/14/2018,10/1/2018,0.39,Quarter,Regular Cash,,,7/19/2018,8/31/2018,9/4/2018,9/18/2018,1.01,Quarter,Regular Cash,,,8/14/2018,8/23/2018,8/24/2018,9/12/2018,1.36,Quarter,Regular Cash,,,7/24/2018,9/14/2018,9/17/2018,10/5/2018,0.48,Quarter,Regular Cash,,,9/18/2018,11/14/2018,11/15/2018,12/13/2018,0.46,Quarter,Regular Cash,,,8/9/2018,8/31/2018,9/4/2018,10/1/2018,0.2,Quarter,Regular Cash,,,6/28/2018,8/2/2018,8/3/2018,9/4/2018,0.34,Quarter,Regular Cash,,,10/9/2018,10/18/2018,10/19/2018,11/15/2018,0.7172,Quarter,Regular Cash,,,7/19/2018,9/7/2018,9/10/2018,9/28/2018,0.77,Quarter,Regular Cash,,,8/8/2018,9/6/2018,9/7/2018,9/18/2018,0.9,Quarter,Regular Cash,,,6/13/2018,8/16/2018,8/17/2018,9/10/2018,0.7,Quarter,Regular Cash,,,7/17/2018,8/16/2018,8/17/2018,9/4/2018,0.21,Quarter,Regular Cash,,,9/6/2018,10/9/2018,10/10/2018,11/1/2018,0.6025,Quarter,Regular Cash,,,6/28/2018,8/17/2018,8/20/2018,9/12/2018,0.44,Quarter,Regular Cash,,,2/19/2019,5/9/2019,5/10/2019,6/3/2019,0.53,Quarter,Regular Cash,,,7/25/2018,8/10/2018,8/13/2018,9/10/2018,0.82,Quarter,Regular Cash,,,
,5/1/2018,5/11/2018,5/14/2018,5/17/2018,0.73,Quarter,Regular Cash,,,5/8/2018,7/5/2018,7/6/2018,8/10/2018,0.35,Quarter,Regular Cash,,,4/30/2018,5/10/2018,5/11/2018,6/1/2018,1.71,Quarter,Regular Cash,,,6/13/2018,7/19/2018,7/20/2018,8/20/2018,0.86,Quarter,Regular Cash,,,5/30/2018,7/5/2018,7/6/2018,7/25/2018,0.33,Quarter,Regular Cash,,,4/25/2018,5/17/2018,5/18/2018,6/11/2018,1.12,Quarter,Regular Cash,,,6/28/2017,7/6/2017,7/10/2017,7/27/2017,0.78,Semi-Anl,Regular Cash,,,6/25/2018,8/30/2018,8/31/2018,9/14/2018,0.38,Quarter,Regular Cash,,,4/17/2018,5/30/2018,5/31/2018,6/28/2018,0.8,Quarter,Regular Cash,,,5/17/2018,5/30/2018,5/31/2018,6/14/2018,1.03,Quarter,Regular Cash,,,4/24/2018,5/9/2018,5/10/2018,6/9/2018,1.57,Quarter,Regular Cash,,,7/19/2018,8/6/2018,8/7/2018,9/1/2018,0.3,Quarter,Regular Cash,,,4/26/2018,5/25/2018,5/29/2018,6/12/2018,0.9,Quarter,Regular Cash,,,5/15/2018,7/5/2018,7/6/2018,7/31/2018,0.56,Quarter,Regular Cash,,,4/26/2018,6/14/2018,6/15/2018,7/2/2018,0.39,Quarter,Regular Cash,,,5/24/2018,6/1/2018,6/4/2018,6/18/2018,1.01,Quarter,Regular Cash,,,5/8/2018,5/17/2018,5/18/2018,6/12/2018,1.36,Quarter,Regular Cash,,,5/22/2018,6/14/2018,6/15/2018,7/9/2018,0.48,Quarter,Regular Cash,,,6/13/2018,8/15/2018,8/16/2018,9/13/2018,0.42,Quarter,Regular Cash,,,5/10/2018,6/1/2018,6/4/2018,7/5/2018,0.2,Quarter,Regular Cash,,,4/26/2018,5/10/2018,5/11/2018,6/1/2018,0.34,Quarter,Regular Cash,,,7/10/2018,7/19/2018,7/20/2018,8/15/2018,0.7172,Quarter,Regular Cash,,,4/24/2018,6/7/2018,6/8/2018,6/29/2018,0.77,Quarter,Regular Cash,,,6/6/2018,6/15/2018,6/18/2018,6/26/2018,0.9,Quarter,Regular Cash,,,4/30/2018,5/17/2018,5/18/2018,6/10/2018,0.7,Quarter,Regular Cash,,,4/18/2018,5/17/2018,5/18/2018,6/5/2018,0.21,Quarter,Regular Cash,,,6/7/2018,7/9/2018,7/10/2018,8/1/2018,0.59,Quarter,Regular Cash,,,4/11/2018,5/17/2018,5/18/2018,6/12/2018,0.4,Quarter,Regular Cash,,,2/19/2019,3/14/2019,3/15/2019,4/1/2019,0.53,Quarter,Regular Cash,,,4/25/2018,5/11/2018,5/14/2018,6/11/2018,0.82,Quarter,Regular Cash,,,
,2/1/2018,2/9/2018,2/12/2018,2/15/2018,0.63,Quarter,Regular Cash,,,3/12/2018,4/5/2018,4/6/2018,5/10/2018,0.35,Quarter,Regular Cash,,,12/11/2017,2/8/2018,2/9/2018,3/2/2018,1.71,Quarter,Regular Cash,,,4/11/2018,4/20/2018,4/23/2018,5/19/2018,0.78,Quarter,Regular Cash,,,2/14/2018,4/4/2018,4/5/2018,4/25/2018,0.33,Quarter,Regular Cash,,,1/31/2018,2/15/2018,2/16/2018,3/12/2018,1.12,Quarter,Regular Cash,,,11/30/2016,12/8/2016,12/12/2016,1/11/2017,0.78,Semi-Anl,Regular Cash,,,4/25/2018,5/30/2018,5/31/2018,6/15/2018,0.38,Quarter,Regular Cash,,,1/16/2018,2/28/2018,3/1/2018,3/29/2018,0.75,Quarter,Regular Cash,,,2/20/2018,3/7/2018,3/8/2018,3/22/2018,1.03,Quarter,Regular Cash,,,1/30/2018,2/8/2018,2/9/2018,3/10/2018,1.5,Quarter,Regular Cash,,,3/15/2018,5/4/2018,5/7/2018,6/1/2018,0.3,Quarter,Regular Cash,,,1/2/2018,2/26/2018,2/27/2018,3/13/2018,0.84,Quarter,Regular Cash,,,3/20/2018,4/5/2018,4/6/2018,4/30/2018,0.56,Quarter,Regular Cash,,,2/15/2018,3/14/2018,3/15/2018,4/2/2018,0.39,Quarter,Regular Cash,,,1/30/2018,2/28/2018,3/1/2018,3/15/2018,1.01,Quarter,Regular Cash,,,1/25/2018,2/15/2018,2/16/2018,3/12/2018,1.36,Quarter,Regular Cash,,,1/23/2018,3/14/2018,3/15/2018,4/6/2018,0.48,Quarter,Regular Cash,,,3/12/2018,5/16/2018,5/17/2018,6/14/2018,0.42,Quarter,Regular Cash,,,2/15/2018,3/2/2018,3/5/2018,4/2/2018,0.2,Quarter,Regular Cash,,,12/18/2017,2/1/2018,2/2/2018,3/1/2018,0.34,Quarter,Regular Cash,,,4/10/2018,4/19/2018,4/20/2018,5/15/2018,0.7172,Quarter,Regular Cash,,,1/23/2018,3/8/2018,3/9/2018,3/30/2018,0.72,Quarter,Regular Cash,,,2/14/2018,3/8/2018,3/9/2018,3/20/2018,0.75,Quarter,Regular Cash,,,2/5/2018,2/15/2018,2/16/2018,3/10/2018,0.7,Quarter,Regular Cash,,,2/1/2018,2/15/2018,2/16/2018,3/6/2018,0.21,Quarter,Regular Cash,,,3/6/2018,4/9/2018,4/10/2018,5/1/2018,0.59,Quarter,Regular Cash,,,1/18/2018,2/14/2018,2/15/2018,3/12/2018,0.4,Quarter,Regular Cash,,,2/20/2018,12/6/2018,12/7/2018,1/2/2019,0.52,Quarter,Regular Cash,,,1/31/2018,2/9/2018,2/12/2018,3/9/2018,0.77,Quarter,Regular Cash,,,
,11/2/2017,11/10/2017,11/13/2017,11/16/2017,0.63,Quarter,Regular Cash,,,11/28/2017,1/4/2018,1/5/2018,2/9/2018,0.35,Quarter,Regular Cash,,,10/30/2017,11/9/2017,11/10/2017,12/1/2017,1.42,Quarter,Regular Cash,,,12/13/2017,1/19/2018,1/22/2018,2/20/2018,0.78,Quarter,Regular Cash,,,12/10/2017,1/4/2018,1/5/2018,1/24/2018,0.29,Quarter,Regular Cash,,,10/25/2017,11/16/2017,11/17/2017,12/11/2017,1.08,Quarter,Regular Cash,,,6/29/2016,7/7/2016,7/11/2016,7/28/2016,0.71,Semi-Anl,Regular Cash,,,2/15/2018,2/27/2018,2/28/2018,3/15/2018,0.38,Quarter,Regular Cash,,,10/16/2017,11/29/2017,11/30/2017,12/28/2017,0.75,Quarter,Regular Cash,,,11/16/2017,11/29/2017,11/30/2017,12/14/2017,0.89,Quarter,Regular Cash,,,10/31/2017,11/9/2017,11/10/2017,12/9/2017,1.5,Quarter,Regular Cash,,,1/25/2018,2/6/2018,2/7/2018,3/1/2018,0.3,Quarter,Regular Cash,,,10/19/2017,11/27/2017,11/28/2017,12/12/2017,0.84,Quarter,Regular Cash,,,12/12/2017,1/4/2018,1/5/2018,1/31/2018,0.56,Quarter,Regular Cash,,,10/19/2017,11/30/2017,12/1/2017,12/15/2017,0.37,Quarter,Regular Cash,,,9/21/2017,11/30/2017,12/1/2017,12/15/2017,1.01,Quarter,Regular Cash,,,11/14/2017,11/22/2017,11/24/2017,12/12/2017,1.175,Quarter,Regular Cash,,,11/28/2017,12/14/2017,12/15/2017,1/8/2018,0.48,Quarter,Regular Cash,,,11/29/2017,2/14/2018,2/15/2018,3/8/2018,0.42,Quarter,Regular Cash,,,11/16/2017,12/1/2017,12/4/2017,1/2/2018,0.2,Quarter,Regular Cash,,,9/27/2017,11/9/2017,11/10/2017,12/1/2017,0.32,Quarter,Regular Cash,,,1/9/2018,1/18/2018,1/19/2018,2/15/2018,0.6896,Quarter,Regular Cash,,,10/19/2017,12/8/2017,12/11/2017,12/29/2017,0.72,Quarter,Regular Cash,,,11/8/2017,11/30/2017,12/1/2017,12/12/2017,0.75,Quarter,Regular Cash,,,10/11/2017,11/16/2017,11/17/2017,12/10/2017,0.7,Quarter,Regular Cash,,,10/18/2017,11/16/2017,11/17/2017,12/5/2017,0.195,Quarter,Regular Cash,,,12/7/2017,1/9/2018,1/10/2018,2/1/2018,0.59,Quarter,Regular Cash,,,10/24/2017,11/10/2017,11/13/2017,12/12/2017,0.4,Quarter,Regular Cash,,,2/20/2018,8/9/2018,8/10/2018,9/4/2018,0.52,Quarter,Regular Cash,,,10/25/2017,11/10/2017,11/13/2017,12/11/2017,0.77,Quarter,Regular Cash,,,
,8/1/2017,8/10/2017,8/14/2017,8/17/2017,0.63,Quarter,Regular Cash,,,9/26/2017,10/5/2017,10/6/2017,11/10/2017,0.35,Quarter,Regular Cash,,,6/26/2017,8/9/2017,8/11/2017,9/1/2017,1.42,Quarter,Regular Cash,,,10/11/2017,10/20/2017,10/23/2017,11/20/2017,0.78,Quarter,Regular Cash,,,9/13/2017,10/4/2017,10/5/2017,10/25/2017,0.29,Quarter,Regular Cash,,,7/26/2017,8/16/2017,8/18/2017,9/11/2017,1.08,Quarter,Regular Cash,,,12/2/2015,12/10/2015,12/14/2015,1/11/2016,0.71,Semi-Anl,Regular Cash,,,11/2/2017,11/14/2017,11/15/2017,12/15/2017,0.38,Quarter,Regular Cash,,,7/17/2017,8/29/2017,8/31/2017,9/28/2017,0.75,Quarter,Regular Cash,,,8/17/2017,8/29/2017,8/31/2017,9/14/2017,0.89,Quarter,Regular Cash,,,7/25/2017,8/8/2017,8/10/2017,9/9/2017,1.5,Quarter,Regular Cash,,,9/14/2017,11/6/2017,11/7/2017,12/1/2017,0.2725,Quarter,Regular Cash,,,7/17/2017,8/25/2017,8/29/2017,9/12/2017,0.84,Quarter,Regular Cash,,,9/19/2017,10/5/2017,10/6/2017,10/31/2017,0.56,Quarter,Regular Cash,,,7/20/2017,9/14/2017,9/15/2017,10/2/2017,0.37,Quarter,Regular Cash,,,7/27/2017,8/30/2017,9/1/2017,9/18/2017,0.94,Quarter,Regular Cash,,,8/15/2017,8/23/2017,8/25/2017,9/12/2017,1.175,Quarter,Regular Cash,,,7/25/2017,9/14/2017,9/15/2017,10/6/2017,0.47,Quarter,Regular Cash,,,9/19/2017,11/15/2017,11/16/2017,12/14/2017,0.42,Quarter,Regular Cash,,,8/10/2017,8/31/2017,9/5/2017,10/2/2017,0.18,Quarter,Regular Cash,,,6/22/2017,8/2/2017,8/4/2017,9/1/2017,0.32,Quarter,Regular Cash,,,10/10/2017,10/19/2017,10/20/2017,11/15/2017,0.6896,Quarter,Regular Cash,,,7/20/2017,9/7/2017,9/8/2017,9/29/2017,0.72,Quarter,Regular Cash,,,8/16/2017,9/7/2017,9/8/2017,9/19/2017,0.75,Quarter,Regular Cash,,,6/14/2017,8/16/2017,8/18/2017,9/10/2017,0.7,Quarter,Regular Cash,,,7/18/2017,8/16/2017,8/18/2017,9/5/2017,0.165,Quarter,Regular Cash,,,9/7/2017,10/6/2017,10/10/2017,11/1/2017,0.59,Quarter,Regular Cash,,,7/12/2017,8/16/2017,8/18/2017,9/12/2017,0.4,Quarter,Regular Cash,,,2/20/2018,5/10/2018,5/11/2018,6/4/2018,0.52,Quarter,Regular Cash,,,7/26/2017,8/10/2017,8/14/2017,9/11/2017,0.77,Quarter,Regular Cash,,,
,5/2/2017,5/11/2017,5/15/2017,5/18/2017,0.63,Quarter,Regular Cash,,,5/1/2017,7/5/2017,7/7/2017,8/10/2017,0.32,Quarter,Regular Cash,,,5/1/2017,5/10/2017,5/12/2017,6/2/2017,1.42,Quarter,Regular Cash,,,6/14/2017,7/18/2017,7/20/2017,8/19/2017,0.78,Quarter,Regular Cash,,,6/6/2017,7/5/2017,7/7/2017,7/26/2017,0.29,Quarter,Regular Cash,,,4/26/2017,5/17/2017,5/19/2017,6/12/2017,1.08,Quarter,Regular Cash,,,6/24/2015,7/1/2015,7/6/2015,7/29/2015,0.66,Semi-Anl,Regular Cash,,,7/13/2017,7/27/2017,7/31/2017,10/2/2017,0.46,Quarter,Regular Cash,,,4/17/2017,5/30/2017,6/1/2017,6/29/2017,0.75,Quarter,Regular Cash,,,5/18/2017,5/30/2017,6/1/2017,6/15/2017,0.89,Quarter,Regular Cash,,,4/25/2017,5/8/2017,5/10/2017,6/10/2017,1.5,Quarter,Regular Cash,,,7/21/2017,8/3/2017,8/7/2017,9/1/2017,0.2725,Quarter,Regular Cash,,,4/27/2017,5/25/2017,5/30/2017,6/13/2017,0.84,Quarter,Regular Cash,,,5/16/2017,7/3/2017,7/6/2017,7/31/2017,0.5,Quarter,Regular Cash,,,4/27/2017,6/13/2017,6/15/2017,7/3/2017,0.37,Quarter,Regular Cash,,,5/24/2017,6/1/2017,6/5/2017,6/19/2017,0.94,Quarter,Regular Cash,,,5/9/2017,5/17/2017,5/19/2017,6/12/2017,1.175,Quarter,Regular Cash,,,5/23/2017,6/13/2017,6/15/2017,7/10/2017,0.47,Quarter,Regular Cash,,,6/13/2017,8/15/2017,8/17/2017,9/14/2017,0.39,Quarter,Regular Cash,,,5/11/2017,6/1/2017,6/5/2017,7/5/2017,0.18,Quarter,Regular Cash,,,4/27/2017,5/10/2017,5/12/2017,6/1/2017,0.32,Quarter,Regular Cash,,,7/11/2017,7/19/2017,7/21/2017,8/15/2017,0.6896,Quarter,Regular Cash,,,4/20/2017,6/7/2017,6/9/2017,6/30/2017,0.72,Quarter,Regular Cash,,,6/7/2017,6/15/2017,6/19/2017,6/27/2017,0.75,Quarter,Regular Cash,,,4/24/2017,5/17/2017,5/19/2017,6/10/2017,0.66,Quarter,Regular Cash,,,4/18/2017,5/17/2017,5/19/2017,6/6/2017,0.165,Quarter,Regular Cash,,,6/1/2017,7/6/2017,7/10/2017,8/1/2017,0.5775,Quarter,Regular Cash,,,4/20/2017,5/16/2017,5/18/2017,6/12/2017,0.375,Quarter,Regular Cash,,,2/20/2018,3/8/2018,3/9/2018,4/2/2018,0.52,Quarter,Regular Cash,,,4/26/2017,5/10/2017,5/12/2017,6/9/2017,0.77,Quarter,Regular Cash,,,
,1/31/2017,2/9/2017,2/13/2017,2/16/2017,0.57,Quarter,Regular Cash,,,3/27/2017,4/5/2017,4/7/2017,5/10/2017,0.32,Quarter,Regular Cash,,,12/12/2016,2/8/2017,2/10/2017,3/3/2017,1.42,Quarter,Regular Cash,,,4/12/2017,4/20/2017,4/24/2017,5/20/2017,0.77,Quarter,Regular Cash,,,2/15/2017,4/4/2017,4/6/2017,4/26/2017,0.29,Quarter,Regular Cash,,,1/25/2017,2/14/2017,2/16/2017,3/10/2017,1.08,Quarter,Regular Cash,,,12/3/2014,12/11/2014,12/15/2014,1/8/2015,1.15,Annual,Regular Cash,,,5/11/2017,6/28/2017,6/30/2017,7/28/2017,0.46,Quarter,Regular Cash,,,1/18/2017,2/28/2017,3/2/2017,3/30/2017,0.65,Quarter,Regular Cash,,,2/21/2017,3/7/2017,3/9/2017,3/23/2017,0.89,Quarter,Regular Cash,,,1/31/2017,2/8/2017,2/10/2017,3/10/2017,1.4,Quarter,Regular Cash,,,3/23/2017,5/3/2017,5/7/2017,6/1/2017,0.2725,Quarter,Regular Cash,,,1/3/2017,2/24/2017,2/28/2017,3/14/2017,0.8,Quarter,Regular Cash,,,3/21/2017,4/4/2017,4/6/2017,4/30/2017,0.5,Quarter,Regular Cash,,,2/16/2017,3/13/2017,3/15/2017,4/3/2017,0.37,Quarter,Regular Cash,,,1/26/2017,2/27/2017,3/1/2017,3/15/2017,0.94,Quarter,Regular Cash,,,2/7/2017,2/15/2017,2/17/2017,3/12/2017,1.175,Quarter,Regular Cash,,,2/28/2017,3/13/2017,3/15/2017,4/7/2017,0.47,Quarter,Regular Cash,,,3/14/2017,5/16/2017,5/18/2017,6/8/2017,0.39,Quarter,Regular Cash,,,2/16/2017,3/2/2017,3/6/2017,4/3/2017,0.18,Quarter,Regular Cash,,,12/12/2016,2/1/2017,2/3/2017,3/1/2017,0.32,Quarter,Regular Cash,,,4/11/2017,4/19/2017,4/21/2017,5/15/2017,0.6896,Quarter,Regular Cash,,,1/24/2017,3/8/2017,3/10/2017,3/31/2017,0.67,Quarter,Regular Cash,,,2/9/2017,3/8/2017,3/10/2017,3/21/2017,0.625,Quarter,Regular Cash,,,2/6/2017,2/15/2017,2/17/2017,3/10/2017,0.66,Quarter,Regular Cash,,,2/1/2017,2/15/2017,2/17/2017,3/7/2017,0.165,Quarter,Regular Cash,,,3/3/2017,4/6/2017,4/10/2017,5/1/2017,0.5775,Quarter,Regular Cash,,,1/26/2017,2/13/2017,2/15/2017,3/10/2017,0.375,Quarter,Regular Cash,,,2/21/2017,12/7/2017,12/8/2017,1/2/2018,0.51,Quarter,Regular Cash,,,1/25/2017,2/8/2017,2/10/2017,3/10/2017,0.75,Quarter,Regular Cash,,,
