Start Date,1/1/1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,12/31/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DIS UN Equity,DWDP UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WBA UW Equity,WMT UN Equity,XOM UN Equity,INDU Index
,Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E)
Dates,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO
1/31/1989,#N/A N/A,#N/A N/A,15.7649,10.1768,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.6694,10.3586,15.9965,#N/A N/A,15.7828,#N/A N/A,#N/A N/A,#N/A N/A,22.0018,#N/A N/A,#N/A N/A,#N/A N/A,7.4575,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.7405,#N/A N/A
2/28/1989,#N/A N/A,#N/A N/A,15.3918,9.6628,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.7619,10.259,15.0568,#N/A N/A,16.1195,#N/A N/A,#N/A N/A,#N/A N/A,21.9557,#N/A N/A,#N/A N/A,#N/A N/A,7.3416,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.1076,#N/A N/A
3/31/1989,#N/A N/A,#N/A N/A,16.3082,9.0531,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.7347,10.5422,15.125,#N/A N/A,17.198,#N/A N/A,#N/A N/A,#N/A N/A,18.0505,#N/A N/A,#N/A N/A,#N/A N/A,7.2932,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.2035,#N/A N/A
4/28/1989,#N/A N/A,#N/A N/A,18.1004,9.588,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.2449,11.6466,16.0417,#N/A N/A,18.2047,#N/A N/A,#N/A N/A,#N/A N/A,20.2166,#N/A N/A,#N/A N/A,#N/A N/A,7.594,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.0581,#N/A N/A
5/31/1989,#N/A N/A,#N/A N/A,19.2055,10.103,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.775,13.1526,16.4583,#N/A N/A,19.3792,#N/A N/A,#N/A N/A,#N/A N/A,21.8412,#N/A N/A,#N/A N/A,#N/A N/A,7.594,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.0291,#N/A N/A
6/30/1989,#N/A N/A,#N/A N/A,16.3265,9.2652,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.1987,12.6638,15.4435,#N/A N/A,17.9538,#N/A N/A,#N/A N/A,#N/A N/A,17.5743,#N/A N/A,#N/A N/A,#N/A N/A,7.4859,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.5712,#N/A N/A
7/31/1989,#N/A N/A,#N/A N/A,17.8146,9.4848,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.524,13.2096,17.2177,#N/A N/A,21.5764,#N/A N/A,#N/A N/A,#N/A N/A,17.8218,#N/A N/A,#N/A N/A,#N/A N/A,8.404,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13.0698,#N/A N/A
8/31/1989,#N/A N/A,#N/A N/A,18.6224,10.2835,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.7242,13.2096,16.8952,#N/A N/A,21.1783,#N/A N/A,#N/A N/A,#N/A N/A,19.637,#N/A N/A,#N/A N/A,#N/A N/A,8.4393,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.5,#N/A N/A
