Date,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DIS UN Equity,DWDP UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WBA UW Equity,WMT UN Equity,XOM UN Equity,INDU Index
1/31/1989,1.3482,7.8274,14.083,7.7344,#N/A N/A,12.5625,6.1669,14.5105,#N/A N/A,1.025,32.7188,0.8125,5.719,10.7917,2.9297,6.5,16.479,10.2927,0.4141,#N/A N/A,2.3906,5.7578,12.063,#N/A N/A,5.516,#N/A N/A,16.8065,#N/A N/A,4.2031,11.5938,2342.32
2/28/1989,1.2946,7.5398,13.75,7.3438,#N/A N/A,12.125,6.0847,13.9316,#N/A N/A,1.144,30.375,0.8047,5.383,10.4167,2.9922,6.313,15.788,10.0561,0.4132,#N/A N/A,2.2969,5.5391,11.875,#N/A N/A,5.469,#N/A N/A,16.3863,#N/A N/A,3.9844,10.9688,2258.39
3/31/1989,1.2723,8.0829,15.167,7.1406,#N/A N/A,13.1875,6.4547,13.7075,#N/A N/A,1.193,27.3125,0.8203,5.672,12.0417,3.2031,6.422,16.119,10.2139,0.3472,#N/A N/A,2.3958,5.7813,12.125,#N/A N/A,5.688,#N/A N/A,17.0866,#N/A N/A,4.0469,10.9688,2293.62
4/28/1989,1.3929,8.3385,16.833,7.5625,#N/A N/A,13.5938,6.9994,14.1557,#N/A N/A,1.321,28.5,0.9063,6.016,12,3.3906,6.875,17.201,10.7462,0.3889,#N/A N/A,2.5781,5.9844,12.625,#N/A N/A,6.5,#N/A N/A,18.6832,#N/A N/A,4.4844,10.8125,2418.8
5/31/1989,1.6964,8.2746,17.861,7.9688,#N/A N/A,13.8125,7.6572,13.8382,#N/A N/A,1.346,27.4063,1.0234,6.172,11.875,3.6094,7.453,17.532,10.9434,0.4201,#N/A N/A,2.5417,6.4219,12.625,#N/A N/A,6.422,#N/A N/A,19.4675,#N/A N/A,4.75,10.7813,2480.15
6/30/1989,1.4821,8.4983,16,7.25,#N/A N/A,13.5,7.7806,12.5496,#N/A N/A,1.284,27.9688,0.9063,5.984,11.9583,3.5234,7.281,17.081,10.5096,0.3698,#N/A N/A,2.401,6.7734,13.25,#N/A N/A,6.281,#N/A N/A,19.6076,#N/A N/A,4.7656,11.0313,2440.06
7/31/1989,1.3973,9.5206,17.458,7.4219,#N/A N/A,13.625,8.829,13.4834,#N/A N/A,1.543,28.7813,0.9453,6.672,13,4.2344,7.781,18.284,11.9885,0.375,#N/A N/A,2.7083,7.4609,14.875,#N/A N/A,6.859,#N/A N/A,21.4843,#N/A N/A,5.4063,11.4688,2660.66
8/31/1989,1.5893,9.5206,18.25,8.0469,#N/A N/A,14.0625,9.6615,15.6123,#N/A N/A,1.759,29.2813,0.9453,6.547,12.7083,4.1563,7.219,18.975,11.5941,0.4132,#N/A N/A,2.8854,8.0313,14.938,#N/A N/A,6.969,#N/A N/A,21.8764,#N/A N/A,5.2813,10.9688,2737.27
9/29/1989,1.5893,9.2331,19,7.625,#N/A N/A,15.1875,9.939,14.6973,#N/A N/A,1.722,27.2813,1.0078,6.844,13.625,4.1953,7.438,18.013,11.9687,0.4757,#N/A N/A,2.8594,7.5,14.625,#N/A N/A,6.969,#N/A N/A,22.3526,#N/A N/A,5.125,11.1875,2692.82
10/31/1989,1.6607,9.297,18.75,7.1563,#N/A N/A,17.125,10.1857,14.4545,#N/A N/A,1.66,25.0938,1.0547,6.922,11.2083,4.5234,7.75,17.231,12.2842,0.5677,#N/A N/A,2.8177,8.0703,14.875,#N/A N/A,6.672,#N/A N/A,22.9128,#N/A N/A,5.1875,11.5,2645.08
11/30/1989,1.5804,9.0733,20,7.3281,#N/A N/A,17.125,10.6071,14.7626,#N/A N/A,1.815,24.375,1.0859,7.063,10.5833,4.8281,8.219,18.524,12.442,0.6042,#N/A N/A,3.0885,8.0938,15.563,#N/A N/A,6.469,#N/A N/A,23.1369,#N/A N/A,5.4688,11.8125,2706.27
12/29/1989,1.2589,8.9136,19.75,7.2344,#N/A N/A,16.9375,9.2092,15.9392,#N/A N/A,1.809,23.5938,1.0781,7.422,9.9583,4.8281,8.688,19.156,12.2251,0.6042,#N/A N/A,2.8958,8.7969,14.922,#N/A N/A,6.781,#N/A N/A,24.9296,#N/A N/A,5.5781,12.5313,2753.2
